fecha hora Temperatura Humedad Presión Dirección Velocidad Altura Ozono
11/04/2012 09:20:44 21.5 46.4 785.4 15.8 0.0 0.3 13.3
11/04/2012 09:20:49 21.6 46.6 785.1 57.3 0.2 5.1 13.5
11/04/2012 09:20:54 21.8 46.3 784.6 99.7 0.9 11.8 13.3
11/04/2012 09:20:59 21.9 45.6 783.9 83.1 0.9 19.1 13.3
11/04/2012 09:21:04 22.1 45.0 783.3 96.6 1.2 23.9 13.6
11/04/2012 09:21:09 22.2 44.6 782.7 108.8 1.2 29.7 13.8
11/04/2012 09:21:14 22.3 44.3 782.4 62.4 0.9 33.9 13.8
11/04/2012 09:21:19 22.3 44.1 781.9 97.9 0.7 37.7 13.8
11/04/2012 09:21:24 22.4 43.9 781.4 91.8 1.2 43.5 13.8
11/04/2012 09:21:29 22.4 43.7 781.0 76.0 1.3 48.3 13.7
11/04/2012 09:21:34 22.3 43.8 780.5 51.5 0.9 51.8 14.0
11/04/2012 09:21:39 22.3 44.0 780.2 40.6 0.8 53.7 14.2
11/04/2012 09:21:44 22.3 44.0 779.6 54.9 0.8 60.8 14.2
11/04/2012 09:21:49 22.3 43.8 779.2 73.2 0.9 65.6 14.0
11/04/2012 09:21:54 22.2 43.9 778.8 76.8 1.0 69.2 13.9
11/04/2012 09:21:59 22.2 44.0 778.4 37.1 0.9 74.6 13.9
11/04/2012 09:22:04 22.1 44.1 778.0 31.5 1.4 76.6 14.4
11/04/2012 09:22:09 21.9 44.3 777.7 35.6 2.0 80.1 14.2
11/04/2012 09:22:14 21.8 44.5 777.4 24.0 1.9 83.6 14.2
11/04/2012 09:22:19 21.7 44.7 777.1 27.2 0.6 87.5 14.0
11/04/2012 09:22:24 21.7 45.0 776.6 35.8 0.8 92.3 13.8
11/04/2012 09:22:29 21.7 45.0 776.2 108.0 1.6 96.8 13.7
11/04/2012 09:22:34 21.7 44.8 775.8 64.2 1.9 99.1 13.7
11/04/2012 09:22:39 21.7 44.8 775.4 44.6 2.1 104.9 13.8
11/04/2012 09:22:44 21.6 44.9 775.0 22.8 1.9 107.8 13.9
11/04/2012 09:22:49 21.4 45.2 774.5 6.2 1.7 113.9 14.0
11/04/2012 09:22:54 21.2 45.6 774.1 71.3 1.0 118.8 14.0
11/04/2012 09:22:59 21.3 45.6 773.6 89.0 0.7 123.0 13.9
11/04/2012 09:23:04 21.4 45.6 773.2 49.2 1.0 125.9 13.8
